count,timestamp,y,y_target,z,z_target,vy,vy_target,vz,vz_target,roll,roll_target,pitch,yaw,thrust,joy_roll,joy_pitch,joy_throttle,joy_yaw,dt
0,6099770031000,-0.0,0.0,0.07000000029802322,0.12000000029802323,-0.01646133127166473,0.0,-0.05096692219376564,0.15000000000000002,-0.2623759986572445,0.9656449647300472,-0.45619075314309954,90.04049371803144,0.4745887289483044,0.02145877699400105,0.0,-0.05082254210339121,0.0,0.060426521000000004
1,6099837187000,-0.0,0.0,0.07000000029802322,0.12000000029802323,-0.026513302076786507,0.0,-0.03775199130177498,0.15000000000000002,-0.6312135637384862,-2.003040495281322,-0.5141440193085052,90.04631962542948,0.46860062560523696,-0.0445120110062516,0.0,-0.06279874878952607,0.0,0.037375872000000004
2,6099872087000,-0.0,0.0,0.07000000029802322,0.12000000029802323,-0.02782332241673117,0.0,-0.037630509585142136,0.15000000000000002,-0.5008448455625215,-0.9710432870483519,-0.3637510622919178,90.01337443602142,0.47378015603575563,-0.021578739712185598,0.0,-0.05243968792848874,0.0,0.045713662
3,6099940015000,0.0,0.0,0.07000000029802322,0.12000000029802323,-0.017840457530147145,0.0,-0.023613063618540764,0.15000000000000002,-0.1609819398759819,0.09705328035519095,-0.3586335285587475,89.98401522064091,0.469585045349869,0.002156739563448688,0.0,-0.060829909300262,0.0,0.051110952
4,6099975013000,0.0,0.0,0.07000000029802322,0.12000000029802323,0.013304469523189961,0.0,-0.036215685307979584,0.15000000000000002,-0.07144477992419034,1.3158912943056498,-0.29354135368852735,89.9841098079009,0.48273703970544063,0.02924202876234777,0.0,-0.03452592058911874,0.0,0.049178261
5,6100044113000,0.0,0.0,0.07000000029802322,0.12000000029802323,-0.04703196391818072,0.0,-0.03422744944691658,0.15000000000000002,-0.05902082697382835,0.33060427502926276,-0.41382668366826947,89.9607834312788,0.4838166037532785,0.00734676166731695,0.0,-0.032366792493442986,0.0,0.049677951000000005
6,6100079087000,0.0,0.0,0.07000000029802322,0.12000000029802323,-0.010788429699183418,0.0,-0.03905646130442619,0.15000000000000002,-0.3401617274162633,-1.08419899602737,-0.5616915051598164,89.93771179583023,0.4899495858502092,-0.02409331102283044,0.0,-0.020100828299581597,0.0,0.050467793000000004
7,6100114113000,0.0,0.0,0.07000000029802322,0.12000000029802323,-0.011185773646465513,0.0,-0.020824545994400978,0.15000000000000002,0.15998746982617698,0.8526014222915684,-0.5860779050140416,89.95765562119902,0.482952631719792,0.018946698273145966,0.0,-0.03409473656041595,0.0,0.06586096500000001
8,6100184029000,0.0,0.0,0.07000000029802322,0.12000000029802323,-0.03907924385461528,0.0,0.01663372851908207,0.15000000000000002,0.034515846367732445,-0.2812536900447889,-0.9313996458688316,89.94775044354303,0.4617314128786763,-0.0062500820009953086,0.0,-0.07653717424264739,0.0,0.033834091000000004
9,6100253134000,0.0,0.0,0.07999999821186066,0.12000000029802323,-0.008295000748424538,0.0,0.07285504788160324,0.12000000625848771,-0.9119412204449947,-0.59038863600367,-1.010396464876923,89.89483541650536,0.42672912876736596,-0.013119747466748221,0.0,-0.14654174246526808,0.0,0.050538989000000006
10,6100288342000,0.0,0.0,0.07999999821186066,0.12000000029802323,-0.0030584566103013544,0.0,0.10688667744398117,0.12000000625848771,-1.2464550425017564,-0.07275153876322558,-0.9984248420182005,89.78675185524048,0.4181073298597323,-0.001616700861405013,0.0,-0.16378534028053537,0.0,0.049799136
11,6100323205000,0.0,0.0,0.07999999821186066,0.12000000029802323,0.0014445786851379518,0.0,0.11703168600797653,0.12000000625848771,-1.2237655103331677,-0.07930029938146885,-1.0198084485074943,89.76218751941998,0.4216639819580391,-0.0017622288751437522,0.0,-0.15667203608392177,0.0,0.049891267
12,6100392028000,0.00958067049362132,0.0,0.09999999403953552,0.12000000029802323,-0.0023176582569980654,-0.0032830256231222493,0.1701667606830597,0.06000001877546311,-0.9327940577155843,1.1444365723202443,-1.1255515015335182,89.85622340798159,0.3734424712753138,0.025431923829338763,0.0,-0.25311505744937235,0.0,0.057297693000000004
13,6100429106000,0.009580603351532428,0.0,0.10999999940395355,0.12000000029802323,-0.0182450373417882,-0.009906174493988517,0.14325247704982758,0.030000002682209023,-0.6845760487253872,4.036138472095616,-1.0245143680444244,89.74176755935619,0.38574723541048894,0.08969196604656925,0.0,-0.22850552917902212,0.0,0.057629223
14,6100498112000,0.009580678221525148,0.0,0.11999999731779099,0.12000000029802323,-0.016759773647468987,-0.01306270825408538,0.12211558222770691,8.940696724635266e-09,0.02668429795064305,3.2798388491163886,-1.0647957485633388,89.87600078824313,0.38577520737279686,0.07288530775814196,0.0,-0.22844958525440628,0.0,0.045400488
15,6100533089000,0.009580690217781209,0.0,0.11999999731779099,0.12000000029802323,0.01346753889785756,-0.013798545222631535,0.13349516689777374,8.940696724635266e-09,0.03283507332122419,-0.0014412193402836074,-1.2277483008957952,89.91541384598797,0.37289379957419627,-3.202709645074683e-05,0.0,-0.25421240085160746,0.0,0.056503593000000005
